CONCURSO,R6
3451,54
3450,41
3449,48
3448,55
3447,46
3446,49
3445,49
3444,56
3443,45
3442,48
3441,29
3440,52
3439,49
3438,37
3437,52
3436,55
3435,51
3434,50
3433,45
3432,55
3431,54
3430,53
3429,48
3428,48
3427,40
3426,46
3425,50
3424,56
3423,36
3422,53
3421,54
3420,43
3419,50
3418,32
3417,50
3416,55
3415,56
3414,53
3413,41
3412,54
3411,51
3410,53
3409,55
3408,43
3407,50
3406,54
3405,54
3404,43
3403,56
3402,55
3401,51
3400,43
3399,46
3398,56
3397,50
3396,54
3395,54
3394,53
3393,56
3392,34
3391,50
3390,45
3389,54
3388,52
3387,42
3386,49
3385,53
3384,54
3383,56
3382,56
3381,52
3380,44
3379,45
3378,56
3377,43
3376,50
3375,53
3374,56
3373,46
3372,47
3371,56
3370,52
3369,47
3368,51
3367,42
3366,53
3365,52
3364,47
3363,56
3362,45
3361,54
3360,55
3359,50
3358,53
3357,34
3356,56
3355,48
3354,47
3353,46
3352,50
3351,50
3350,54
3349,44
3348,47
3347,52
3346,50
3345,48
3344,40
3343,55
3342,49
3341,41
3340,40
3339,52
3338,55
3337,51
3336,29
3335,44
3334,54
3333,34
3332,53
3331,52
3330,36
3329,55
3328,54
3327,51
3326,56
3325,46
3324,46
3323,45
3322,56
3321,50
3320,52
3319,50
3318,51
3317,38
3316,55
3315,56
3314,49
3313,52
3312,51
3311,48
3310,49
3309,54
3308,39
3307,54
3306,46
3305,48
3304,47
3303,43
3302,53
3301,55
3300,52
3299,45
3298,56
3297,56
3296,54
3295,52
3294,53
3293,48
3292,53
3291,49
3290,54
3289,39
3288,23
3287,55
3286,46
3285,52
3284,46
3283,52
3282,54
3281,37
3280,45
3279,39
3278,55
3277,52
3276,52
3275,55
3274,46
3273,55
3272,47
3271,43
3270,46
3269,45
3268,56
3267,48
3266,45
3265,51
3264,46
3263,54
3262,54
3261,35
3260,45
3259,44
3258,41
3257,21
3256,54
3255,47
3254,43
3253,44
3252,46
3251,47
3250,45
3249,52
3248,53
3247,28
3246,54
3245,52
3244,51
3243,40
3242,30
3241,40
3240,56
3239,49
3238,52
3237,53
3236,50
3235,37
3234,52
3233,28
3232,56
3231,45
3230,51
3229,45
3228,56
3227,20
3226,45
3225,55
3224,56
3223,54
3222,51
3221,53
3220,42
3219,55
3218,40
3217,52
3216,54
3215,50
3214,56
3213,46
3212,53
3211,56
3210,52
3209,55
3208,55
3207,50
3206,54
3205,43
3204,56
3203,47
3202,30
3201,45
3200,52
3199,53
3198,53
3197,50
3196,53
3195,52
3194,40
3193,49
3192,51
3191,52
3190,45
3189,52
3188,50
3187,32
3186,50
3185,56
3184,54
3183,45
3182,45
3181,50
3180,42
3179,51
3178,56
3177,53
3176,56
3175,56
3174,56
3173,54
3172,54
3171,54
3170,56
3169,54
3168,48
3167,35
3166,48
3165,36
3164,54
3163,55
3162,54
3161,54
3160,50
3159,50
3158,49
3157,51
3156,52
3155,38
3154,31
3153,56
3152,53
3151,56
3150,52
3149,54
3148,52
3147,45
3146,52
3145,45
3144,47
3143,54
3142,55
3141,37
3140,48
3139,54
3138,38
3137,46
3136,55
3135,37
3134,55
3133,49
3132,55
3131,55
3130,50
3129,47
3128,32
3127,46
3126,51
3125,29
3124,53
3123,31
3122,53
3121,44
3120,54
3119,55
3118,51
3117,42
3116,44
3115,50
3114,55
3113,50
3112,54
3111,51
3110,49
3109,54
3108,56
3107,54
3106,45
3105,50
3104,47
3103,46
3102,46
3101,45
3100,31
3099,51
3098,43
3097,52
3096,47
3095,50
3094,54
3093,49
3092,46
3091,55
3090,46
3089,42
3088,46
3087,54
3086,38
3085,55
3084,56
3083,56
3082,56
3081,56
3080,52
3079,53
3078,53
3077,38
3076,56
3075,53
3074,56
3073,49
3072,51
3071,47
3070,49
3069,52
3068,54
3067,52
3066,33
3065,53
3064,51
3063,56
3062,50
3061,46
3060,55
3059,55
3058,39
3057,49
3056,40
3055,56
3054,44
3053,54
3052,55
3051,55
3050,52
3049,55
3048,46
3047,46
3046,52
3045,56
3044,54
3043,39
3042,54
3041,48
3040,56
3039,48
3038,55
3037,54
3036,51
3035,25
3034,56
3033,45
3032,47
3031,54
3030,56
3029,52
3028,35
3027,50
3026,43
3025,50
3024,45
3023,54
3022,55
3021,52
3020,52
3019,45
3018,45
3017,56
3016,55
3015,56
3014,48
3013,53
3012,50
3011,48
3010,38
3009,40
3008,37
3007,48
3006,46
3005,56
3004,54
3003,53
3002,52
3001,54
3000,55
2999,48
2998,53
2997,47
2996,54
2995,54
2994,48
2993,45
2992,35
2991,55
2990,48
2989,44
2988,49
2987,53
2986,56
2985,51
2984,45
2983,47
2982,54
2981,50
2980,54
2979,56
2978,50
2977,56
2976,52
2975,39
2974,53
2973,56
2972,56
2971,55
2970,47
2969,44
2968,48
2967,52
2966,55
2965,40
2964,52
2963,55
2962,54
2961,51
2960,38
2959,36
2958,44
2957,54
2956,54
2955,55
2954,54
2953,53
2952,56
2951,54
2950,46
2949,56
2948,48
2947,27
2946,51
2945,37
2944,54
2943,50
2942,52
2941,48
2940,56
2939,49
2938,56
2937,52
2936,54
2935,43
2934,50
2933,56
2932,53
2931,53
2930,47
2929,37
2928,54
2927,46
2926,45
2925,55
2924,40
2923,39
2922,44
2921,47
2920,52
2919,52
2918,52
2917,53
2916,46
2915,39
2914,35
2913,55
2912,55
2911,51
2910,49
2909,52
2908,56
2907,45
2906,49
2905,54
2904,56
2903,42
2902,45
2901,52
2900,52
2899,51
2898,49
2897,37
2896,49
2895,49
2894,49
2893,51
2892,46
2891,31
2890,37
2889,55
2888,40
2887,49
2886,56
2885,41
2884,53
2883,54
2882,52
2881,55
2880,49
2879,44
2878,40
2877,51
2876,54
2875,52
2874,35
2873,52
2872,51
2871,52
2870,55
2869,53
2868,47
2867,56
