ID,MAT 1,MAT 2,MAT 3,MAT 4,MAT 5,MAT 6
128715,#N/A,#N/A,#N/A,#N/A,6.3,5.0
158712,8.4,9.1,8.8,6.0,6.0,5.0
158722,9.6,9.0,9.2,8.6,8.7,6.6
158740,10,10,10,10,9.9,8.1
159821,10,8.9,8.1,8.8,9.8,9.6
159924,9.0,9.7,8.9,6.0,8.8,#N/A
159937,9.5,6.8,6.9,6.0,6.0,5.0
159958,9.0,9.1,8.6,7.9,7.8,#N/A
159966,9.3,8.6,9.1,10,9.4,8.9
159975,8.6,8.9,9.4,9.4,8.0,6.6
159987,10,10,10,9.5,10,10
160026,8.6,8.6,9.4,8.0,9.1,8.3
160068,7.3,5.8,6.7,5.0,5.5,#N/A
160070,9.6,8.7,8.9,7.2,8.5,7.6
160072,9.6,9.2,8.4,8.2,7.1,7.2
160078,9.3,8.2,9.6,9.5,9.0,7.5
160302,#N/A,10,9.0,9.5,10,8.0
161012,9.0,6.6,6.0,6.0,5.0,#N/A
161016,7.9,6.0,7.1,7.9,9.0,7.4
161022,9.9,10,9.1,10,10,8.9
161250,6.3,5.0,5.0,#N/A,#N/A,#N/A
161297,7.2,7.8,6.0,7.1,6.8,6.0
161396,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
161998,8.5,9.4,8.3,5.1,6.4,#N/A
162228,7.7,#N/A,#N/A,#N/A,#N/A,#N/A
163021,6.8,6.9,7.9,6.0,6.0,5.0
163022,8.0,6.5,6.0,5.0,5.3,5.0
163072,8.8,7.4,6.4,5.4,7.5,#N/A
165078,10,9.4,9.4,9.2,9.8,7.1
165530,10,9.1,10,10,10,7.9
165532,10,10,10,10,8.2,7.9
165571,7.3,6.0,7.8,8.6,5.0,6.1
166614,9.2,6.0,8.1,6.3,#N/A,#N/A
166615,6.8,5.0,6.2,6.0,5.0,#N/A
166616,9.4,8.9,8.4,8.0,7.0,6.0
166630,9.7,8.7,9.1,10,7.8,6.0
166632,8.3,9.1,8.0,7.5,7.9,#N/A
166941,9.8,9.6,10,10,7.7,6.7
166943,9.2,6.0,7.9,6.0,5.1,6.1
167055,9.2,10,10,10,10,8.5
167416,8.0,6.0,7.3,5.0,5.0,#N/A
167534,9.8,7.2,9.6,7.3,8.5,#N/A
167692,8.4,7.1,10,6.7,7.8,7.6
167776,8.5,6.3,6.0,#N/A,#N/A,#N/A
167927,7.5,7.3,7.9,7.0,5.0,6.7
168154,6.3,6.0,8.4,7.7,6.1,#N/A
168225,9.4,7.2,7.9,10,8.3,7.3
168360,9.4,7.0,10,10,8.5,7.4
169295,8.5,7.3,9.9,8.3,5.0,6.0
169296,8.1,6.4,9.0,7.6,5.0,6.4
169347,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
169546,9.6,9.4,8.1,7.8,8.2,7.0
170035,9.4,9.8,10,6.3,9.1,6.2
170794,8.5,8.5,9.4,6.3,6.4,5.0
171651,7.3,8.7,9.7,5.0,5.3,6.3
171726,8.1,8.4,10,8.1,8.1,6.0
171728,5.0,6.9,5.3,#N/A,#N/A,#N/A
172048,6.0,8.1,5.0,#N/A,#N/A,#N/A
172142,9.1,8.3,8.9,10,8.3,7.7
173632,9.7,9.8,8.6,8.2,7.0,6.3
173661,10,10,10,10,9.2,9.6
173668,8.8,8.5,7.6,8.0,7.2,6.3
174600,8.4,7.8,8.2,7.9,7.2,#N/A
174608,8.3,6.5,8.0,7.0,6.5,7.3
174610,10,10,9.6,10,9.9,9.4
174611,10,10,10,9.9,8.8,8.8
174637,9.5,8.2,7.0,7.8,6.4,6.0
174872,#N/A,#N/A,#N/A,7.8,6.9,6.1
175149,8.8,8.7,7.4,8.1,6.9,7.7
175153,5.5,9.5,8.0,7.6,6.7,#N/A
175263,5.5,#N/A,#N/A,#N/A,#N/A,#N/A
175425,6.2,9.1,7.1,8.5,5.5,7.2
175436,#N/A,#N/A,#N/A,#N/A,5.0,5.0
175448,9.7,6.8,9.5,7.8,8.8,6.7
175462,5.5,#N/A,#N/A,#N/A,#N/A,#N/A
175541,9.3,10,7.6,7.4,7.5,6.6
175556,#N/A,5.0,6.3,6.4,6.3,5.0
175764,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
175818,9.6,8.5,7.5,9.2,8.7,6.1
176357,7.9,9.6,7.2,6.6,8.2,8.0
176389,5.3,#N/A,#N/A,#N/A,#N/A,#N/A
176391,7.3,9.2,5.1,8.6,8.7,6.4
176418,9.0,9.8,8.0,7.0,7.3,6.6
176542,8.2,9.2,7.0,6.6,6.6,5.0
176634,6.1,6.5,6.4,7.8,7.1,6.0
177364,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
177668,10,6.0,9.0,8.0,6.6,6.0
177841,6.5,#N/A,5.0,#N/A,#N/A,#N/A
178354,7.1,5.4,6.4,6.8,6.2,6.1
178629,8.6,6.0,8.4,8.0,7.0,8.7
178630,9.3,6.5,8.5,8.3,9.2,7.4
178892,7.3,7.7,5.4,7.6,8.0,#N/A
179017,7.2,5.0,7.3,7.0,6.8,7.5
181666,8.7,7.7,8.1,7.5,6.0,7.1
182877,9.8,10,9.3,#N/A,7.7,#N/A
183216,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
183239,6.0,5.0,5.0,#N/A,#N/A,#N/A
183274,6.8,6.9,7.4,9.0,6.0,6.8
183276,7.2,5.0,7.6,6.0,5.0,#N/A
183277,9.3,7.8,9.0,7.7,6.0,5.4
183283,9.5,8.6,9.5,10,9.4,9.0
183284,7.7,7.6,8.9,8.5,7.0,7.6
183307,8.4,9.3,9.8,9.6,9.2,8.3
183358,7.5,7.2,7.2,5.8,6.0,5.0
183663,8.2,8.8,9.0,8.7,6.8,6.0
183664,6.0,8.6,8.9,5.0,5.3,5.0
183743,8.9,10,9.1,9.7,8.0,7.5
183744,8.7,9.6,9.1,7.4,6.2,5.0
183766,7.1,#N/A,#N/A,#N/A,#N/A,#N/A
184119,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
184330,8.5,9.2,8.6,7.5,6.0,5.0
184493,5.3,5.0,5.0,#N/A,#N/A,#N/A
184653,#N/A,#N/A,#N/A,#N/A,9.9,6.7
185299,6.4,6.1,6.0,5.0,5.0,5.0
185725,6.3,6.5,6.1,5.0,5.3,5.0
186099,6.0,7.4,7.1,6.6,8.0,#N/A
186213,6.0,#N/A,#N/A,#N/A,#N/A,#N/A
186860,6.0,#N/A,#N/A,#N/A,#N/A,#N/A
186912,6.1,6.3,6.4,5.6,5.0,5.5
186913,6.0,7.4,7.7,5.1,6.2,5.6
187045,5.0,5.0,#N/A,#N/A,#N/A,#N/A
187245,6.5,6.4,6.7,6.0,7.7,#N/A
187331,8.6,8.9,9.7,7.2,6.3,6.0
188270,7.2,8.5,8.2,6.0,6.6,6.2
189631,7.6,8.9,6.3,7.0,5.0,5.0
191428,6.9,8.4,6.1,8.8,7.9,6.3
191429,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
191432,8.5,7.6,9.3,9.4,8.8,8.2
191717,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
191719,6.0,7.3,5.0,7.5,6.9,6.0
191729,6.0,5.0,5.0,5.0,5.0,#N/A
191730,9.1,8.5,9.8,7.9,9.1,8.0
191732,9.6,8.6,9.1,7.1,7.4,6.8
191733,9.7,7.5,6.8,7.6,7.3,#N/A
192075,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
192236,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
192510,6.0,6.4,9.0,8.0,6.7,#N/A
193272,8.7,9.4,8.7,7.3,8.8,6.0
194176,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
195376,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
195501,6.8,9.1,8.8,#N/A,#N/A,#N/A
195564,8.0,7.4,7.8,#N/A,#N/A,#N/A
196047,8.7,7.9,9.1,7.4,6.6,#N/A
196139,6.0,9.1,8.1,9.0,7.6,6.1
196180,6.3,7.3,6.0,6.0,6.0,#N/A
196393,7.6,6.4,6.9,7.7,6.9,#N/A
196591,7.6,8.6,10,7.3,6.0,5.0
196706,5.0,#N/A,#N/A,#N/A,#N/A,#N/A
196883,5.0,7.0,7.6,5.0,6.4,6.2
199444,9.3,8.8,9.6,8.5,8.3,6.7
200519,8.2,6.0,8.7,6.6,6.3,#N/A
200787,8.5,7.5,9.4,6.7,6.8,7.5
200909,5.6,#N/A,#N/A,#N/A,#N/A,#N/A
200920,7.8,6.8,8.6,7.9,7.8,#N/A
